category,has_experience,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,category_encoded
HR,0,0.5285687205256188,-0.14040216920696422,-0.018633171458270738,0.11598031218252634,-0.021461947821749115,0.03381355972743214,-0.10180644171407599,0.20837798585785222,-0.0052342505897019454,0.01697082019894861,36
HR,0,0.5091356457087581,-0.04250152755622672,-0.09962495193459496,0.3094681781619546,-0.16330793020349424,-0.05083156364665866,0.03725690474609122,0.12965175246808833,0.018544781866002488,0.0200724724533623,36
HR,1,0.49591928146011877,-0.025153577719098225,0.048990933535930946,-0.046333419466734464,-0.18556272620494002,0.0076827405386518275,-0.13400754945130053,0.43598151627027476,0.04201675436690786,0.14671794596225823,36
HR,1,0.40817126867615894,-0.10032924204157025,-0.020801313763574192,-0.09056916192382589,0.07558306335338444,-0.01338118134911858,-0.167059510452599,0.12234159602503045,0.005051013402342557,0.01413198307212335,36
HR,0,0.38647522079836144,-0.030011140691640088,0.08378505025634471,-0.027865624523415015,-0.1626094494501496,0.013373460243239387,-0.16512396923354267,0.5551752373960215,0.08353847352189299,0.2554465660897759,36
HR,0,0.42065467717872806,-0.02829727881885967,-0.007228606068623628,-0.08196600795345957,-0.1989113236728276,0.1107430965695552,-0.07665923039592641,0.1969904561847732,0.010209301198366567,0.06648037939951482,36
HR,0,0.40962251532289035,-0.008273432088855491,-0.04831498732192714,-0.07084745554150412,-0.14662990174107682,0.06345686801378315,-0.032106350405214486,0.42940786130085107,0.07353369561451528,0.18785532549200057,36
HR,0,0.39957801279671173,-0.0465903109755062,0.07533036624221993,-0.06513179039738565,-0.13641350440573483,0.04132970464384783,-0.15319056492797142,0.483205166623063,0.05172946413543514,0.23194137999507802,36
HR,0,0.38701986133428407,-0.0020494821413599667,0.022955954677402305,-0.05441986191413433,-0.1356792720694433,0.009730855274637915,-0.09995546995561581,0.3345261626591419,0.04984425037545836,0.1938904011235719,36
HR,0,0.34543328712364374,-0.023378203965263456,0.12329812367876089,-0.07159619459561602,-0.15641346798686565,0.033167613547373416,-0.1422459657323525,0.47277075339167085,0.05956552361964311,0.21579111715310917,36
HR,1,0.4127390434557801,-0.09612028494145088,0.09889800614379134,-0.10173535545363703,-0.02162856292079363,0.05631688141739093,-0.12886727569831344,0.23157979190977374,0.002956588331043538,0.11731278338859483,36
HR,0,0.43380278848317283,-0.00897483780412159,0.09595500535022997,-0.03066498473942589,-0.13192457512113034,0.028093133757148968,-0.11982824178470598,0.4461237108821655,0.059669953820491034,0.232782228811136,36
HR,0,0.5444600827815423,-0.05896019028097679,-0.00970992786081451,-0.0961103360965227,0.032201978999344745,-0.005436804707838867,-0.12831602832556818,0.14870453718214754,-0.010090695148620701,0.0442980581159482,36
HR,0,0.32664067375272876,-0.0789906457762341,0.0526453858641895,-0.08227028844894625,-0.11861037027334909,0.04456379918432033,-0.1471802987912963,0.44846620805148474,0.05220057866059619,0.23859706568868397,36
HR,0,0.3767230791037195,-0.046543483258426006,0.03700491218622214,-0.06291331401188574,-0.20042842359861665,0.07970977058921727,-0.14260797859636437,0.43728880895562117,0.08056022201714427,0.2380621080927792,36
HR,0,0.46977556012952143,-0.15477529840700666,0.1970034998758224,-0.08125752533820625,0.13350004628074727,0.07373597804508122,-0.08132626647025885,-0.029496301182930392,-0.01758207317850787,-0.005578431286174619,36
HR,0,0.38664915184602916,-0.03796811627741461,0.05927938407795229,0.006498290410051889,0.002233207771593144,-0.023312718969965913,-0.17524193928439327,0.29156248674097535,0.038541670143466565,0.18729411387943304,36
HR,0,0.4973604114322633,-0.019290030596051055,0.13417840032800213,-0.01932755084640655,-0.17309233898341836,0.048118692740751395,-0.1395880861377724,0.41113837939844494,0.05391570953887173,0.14236729968094533,36
HR,0,0.39031627899408144,-0.057860461234027806,0.046164597028566894,-0.0411017861312503,-0.06564380290218634,0.033222745245939746,-0.18491965437083377,0.47852715865421275,0.06278193535406888,0.23775209643593356,36
HR,0,0.3809183771055463,0.004140226081901399,0.10695042359627938,-0.0008239554328293506,-0.1664628877611515,0.042284551598547646,-0.16866436565463647,0.5197096642083038,0.08630179497600102,0.24863590457913926,36
